-0.358406 0     0.0514126 0
-0.379666 0.0212608     0.0518399 0.000427371
-0.389588 0.0157831     0.0517152 0.000276454
-0.386328 0.0116266     0.0516287 0.000213784
-0.379494 0.0113054     0.0515415 0.000187143
-0.383967 0.0102575     0.0511331 0.000436112
-0.3804 0.00937437     0.0510953 0.000370505
-0.379918 0.00813274     0.0510723 0.00032169
-0.378598 0.00729285     0.0509352 0.000315111
-0.378346 0.00652779     0.0507695 0.000326955
-0.382297 0.00710462     0.0509393 0.000341018
-0.38178 0.0065062     0.0509892 0.000315289
-0.381374 0.00599857     0.0509437 0.000293585
-0.383738 0.00603579     0.0510404 0.000288511
-0.384431 0.00566159     0.0510581 0.000269175
-0.385496 0.00540192     0.0510991 0.000255092
-0.387471 0.00544525     0.0511548 0.000246012
-0.390718 0.00607439     0.0512804 0.000263777
-0.393415 0.00634721     0.0512505 0.000251291
-0.392213 0.00614019     0.0512693 0.000239133
-0.390826 0.00600294     0.0512972 0.000229168
-0.391331 0.00574579     0.0513241 0.000220152
-0.39277 0.00567563     0.0513158 0.000210526
-0.396585 0.00663983     0.0513268 0.000201861
-0.397854 0.00649385     0.0512864 0.000197783
-0.398755 0.00630379     0.0512787 0.000190179
-0.40053 0.00632009     0.0512488 0.000185437
-0.401352 0.00614552     0.0512899 0.000183353
-0.402382 0.00601849     0.0513032 0.000177423
-0.403 0.00584719     0.0512604 0.000176673
-0.40343 0.00567177     0.051245 0.000171578
-0.402727 0.00553645     0.051294 0.000173229
-0.40256 0.00536867     0.0512036 0.000190719
-0.403474 0.00528803     0.0512229 0.000186026
-0.402697 0.00519321     0.0512488 0.00018249
-0.403048 0.00505911     0.051223 0.000179219
-0.402979 0.00492096     0.0512226 0.000174308
-0.403144 0.00479256     0.0511955 0.000171822
-0.402774 0.00468271     0.0511841 0.000167746
-0.401353 0.00478023     0.0511441 0.00016832
-0.402144 0.0047288     0.051156 0.0001646
-0.403315 0.00476122     0.0511804 0.00016247
-0.402861 0.00467136     0.0511867 0.000158771
-0.403748 0.00464937     0.051191 0.000155181
-0.404744 0.00465271     0.0512008 0.000152008
-0.404789 0.00455066     0.0512002 0.000148668
-0.403768 0.00456831     0.0511837 0.000146401
-0.403916 0.0044746     0.0512092 0.000145563
-0.404434 0.00441281     0.0512098 0.000142562
-0.404283 0.00432629     0.0512281 0.000140881
-0.404419 0.00424277     0.0512255 0.000138116
-0.405097 0.00421534     0.0512452 0.000136861
-0.40522 0.00413685     0.0512533 0.000134497
-0.405167 0.00405986     0.0512254 0.000134904
