-5.0346 0     2.03351 0
-5.03153 0.00307343     2.06585 0.0323442
-5.02922 0.00291076     2.09931 0.0383167
-5.02981 0.00214071     2.09308 0.0278015
-5.02897 0.00185934     2.09171 0.0215786
-5.03223 0.00360361     2.07506 0.0242385
-5.02929 0.00423412     2.09279 0.0270883
-5.03225 0.00471031     2.08153 0.0260208
-5.03063 0.00445906     2.0876 0.0237367
-5.03002 0.0040348     2.09328 0.0219787
-5.03075 0.00372214     2.0865 0.021005
-5.03093 0.00340255     2.08752 0.0192018
-5.03289 0.00369293     2.08136 0.0187045
-5.03242 0.00345038     2.08244 0.0173506
-5.03281 0.00323481     2.08016 0.0163121
-5.03286 0.00302637     2.0827 0.0154681
-5.03245 0.00287187     2.08509 0.0147242
-5.03332 0.0028444     2.08153 0.0143316
-5.03362 0.00270625     2.08071 0.0135806
-5.0331 0.00261902     2.08266 0.0130303
-5.03288 0.00250055     2.08414 0.0124815
-5.03299 0.00238684     2.08369 0.011909
-5.03287 0.00228435     2.0838 0.0113799
-5.03291 0.00218759     2.08335 0.0109044
-5.03258 0.00212415     2.08591 0.0107678
-5.0327 0.0020445     2.08489 0.010396
-5.03312 0.00201151     2.08543 0.0100185
-5.03274 0.00197509     2.08728 0.00982978
-5.0324 0.00193594     2.08846 0.00955771
-5.03167 0.0020087     2.09274 0.0101758
-5.03142 0.00195879     2.0938 0.00989912
-5.03153 0.00189966     2.09371 0.00958523
-5.03175 0.00185423     2.09222 0.009408
-5.03198 0.00181356     2.09208 0.0091282
-5.03212 0.0017666     2.09117 0.00890988
-5.03173 0.00176085     2.09244 0.00875097
-5.03129 0.00176705     2.09481 0.00883529
-5.03128 0.00171994     2.09509 0.00860417
-5.03143 0.00168146     2.09426 0.00842155
-5.03119 0.00165563     2.09507 0.0082477
-5.03104 0.00162197     2.09602 0.00810002
-5.03089 0.00158995     2.09742 0.00802767
-5.03113 0.00157095     2.09541 0.00809169
-5.03124 0.00153849     2.09444 0.00796504
-5.03103 0.00151779     2.09491 0.00780015
-5.03108 0.00148513     2.09438 0.00764669
-5.0312 0.00145864     2.09415 0.00748598
-5.03117 0.00142829     2.09463 0.00734403
-5.03097 0.0014135     2.0959 0.00730466
-5.03137 0.00144203     2.09513 0.00719885
-5.03091 0.00148627     2.09783 0.00755617
-5.03039 0.00154818     2.09978 0.00766148
-5.03039 0.00151869     2.10141 0.0076899
-5.03063 0.00150991     2.10052 0.00759836
-5.03053 0.0014855     2.10119 0.00748953
