-6.66288 0     9.57917 0
-6.66278 9.67408e-05     9.57723 0.00194813
-6.66366 0.000880426     9.57529 0.00223638
-6.66361 0.000624664     9.5774 0.00263438
-6.66416 0.000736609     9.57876 0.00245527
-6.6643 0.000616331     9.57855 0.00201618
-6.66468 0.000645548     9.57697 0.0023258
-6.66476 0.000565324     9.57582 0.0023188
-6.66467 0.0005073     9.57571 0.0020477
-6.66459 0.000461488     9.577 0.00223891
-6.66448 0.000430998     9.5785 0.00251912
-6.66471 0.000454872     9.57901 0.00235522
-6.66474 0.000419497     9.57917 0.00217254
-6.66468 0.000392137     9.57924 0.00201276
-6.66473 0.000367747     9.57911 0.00187835
-6.66473 0.000344015     9.5797 0.00185262
-6.66469 0.000325138     9.58072 0.00201881
-6.66473 0.000308217     9.58131 0.00199274
-6.66464 0.000303512     9.58186 0.00196191
-6.66481 0.000334868     9.58132 0.00193612
-6.66486 0.000322162     9.58134 0.00184173
-6.66478 0.000316586     9.58155 0.00176779
-6.66477 0.000303048     9.58206 0.00176613
-6.66481 0.00029386     9.58214 0.00169255
-6.6649 0.000295563     9.58226 0.00162797
-6.66485 0.000289159     9.58238 0.00156847
-6.66478 0.000286105     9.58238 0.00150928
-6.66482 0.000278349     9.58211 0.00147981
-6.66482 0.00026858     9.58199 0.00143271
-6.66484 0.00026047     9.58146 0.00148253
-6.66486 0.000252266     9.58184 0.00148214
-6.66484 0.000244526     9.58169 0.00144239
-6.66485 0.000237211     9.58144 0.00142057
-6.66484 0.000230585     9.58161 0.0013885
-6.66488 0.000226818     9.58159 0.00134837
-6.66493 0.000225885     9.58123 0.00135823
-6.66484 0.000236537     9.58121 0.00132115
-6.66484 0.000230343     9.58121 0.00128591
-6.66481 0.00022695     9.58126 0.00125352
-6.66479 0.000222298     9.58144 0.0012352
-6.66482 0.000218908     9.58137 0.00120697
-6.66481 0.000213881     9.58159 0.00119845
-6.66476 0.000213495     9.58176 0.00118192
-6.66474 0.000209756     9.58185 0.00115866
-6.66473 0.000205465     9.5819 0.00113377
-6.66481 0.000214933     9.58177 0.00111736
-6.66481 0.000210435     9.5818 0.00109396
-6.6648 0.000206181     9.58167 0.00107971
-6.66479 0.000202296     9.58178 0.00106365
-6.66475 0.000202874     9.58185 0.00104434
-6.66475 0.00019886     9.58174 0.00102938
-6.66475 0.000195143     9.58164 0.00101397
-6.66479 0.000194696     9.58146 0.0010119
-6.66484 0.000197529     9.58143 0.000993311
-6.66489 0.000200245     9.58117 0.00100869
-6.66489 0.000196642     9.58118 0.000990547
-6.66489 0.000193204     9.58098 0.000993549
-6.6649 0.000190174     9.58088 0.000981364
